cust_id,balance,balance_frequency,purchases,oneoff_purchases,installments_purchases,cash_advance,purchases_frequency,oneoff_purchases_frequency,purchases_installments_frequency,cash_advance_frequency,cash_advance_trx,purchases_trx,credit_limit,payments,minimum_payments,prc_full_payment,tenure,utilisation_rate,cash_advance_ratio,payment_ratio,purchase_type,R_score,F_score,M_score,rfm_score,segment,high_utilisation,cash_dependent,poor_payer,risk_flags,watch_list
C10001,40.900749,0.818182,95.4,0.0,95.4,0.0,0.166667,0.0,0.083333,0.0,0,2,1000.0,201.802084,139.509787,0.0,12,0.040900749,0.0,4.816192760659243,Installment,2,2,2,6,Dormant,False,False,False,0,False
C10002,3202.467416,0.909091,0.0,0.0,0.0,6442.945483,0.0,0.0,0.0,0.25,4,0,7000.0,4103.032597,1072.340217,0.222222,12,0.4574953451428571,0.9998448155710444,1.2808098426433316,No purchases,1,1,1,3,Lost,False,True,False,1,False
C10003,2495.148862,1.0,773.17,773.17,0.0,0.0,1.0,1.0,0.0,0.0,0,12,7500.0,622.066742,627.284787,0.0,12,0.33268651493333334,0.0,0.2492105945562793,One-off,4,4,4,12,Champions,False,False,False,0,False
C10004,1666.670542,0.636364,1499.0,1499.0,0.0,205.788017,0.083333,0.083333,0.0,0.083333,1,1,7500.0,0.0,0.0,0.0,12,0.22222273893333333,0.12064102628761754,0.0,One-off,2,2,5,9,At Risk,False,False,True,1,False
C10005,817.714335,1.0,16.0,16.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,1200.0,678.334763,244.791237,0.0,12,0.6814286125,0.0,0.8285365651988981,One-off,2,2,2,6,Dormant,False,False,False,0,False
C10006,1809.828751,1.0,1333.28,0.0,1333.28,0.0,0.666667,0.0,0.583333,0.0,0,8,1800.0,1400.05777,2407.246035,0.0,12,1.0054604172222221,0.0,0.7731585713043496,Installment,3,3,4,10,Loyal,True,False,False,1,False
C10007,627.260806,1.0,7091.01,6402.63,688.38,0.0,1.0,1.0,1.0,0.0,0,64,13500.0,6354.314328,198.065894,1.0,12,0.046463763407407405,0.0,10.114134555769185,One-off,4,5,5,14,Champions,False,False,False,0,False
C10008,1823.652743,1.0,436.2,0.0,436.2,0.0,1.0,0.0,1.0,0.0,0,12,2300.0,679.065082,532.03399,0.0,12,0.7928924969565218,0.0,0.37216126992115556,Installment,4,4,3,11,Loyal,False,False,False,0,False
C10009,1014.926473,1.0,861.49,661.49,200.0,0.0,0.333333,0.083333,0.25,0.0,0,5,7000.0,688.278568,311.963409,0.0,12,0.14498949614285714,0.0,0.6774885646670219,One-off,3,3,4,10,Loyal,False,False,False,0,False
C10010,152.225975,0.545455,1281.6,1281.6,0.0,0.0,0.166667,0.166667,0.0,0.0,0,3,11000.0,1164.770591,100.302262,0.0,12,0.013838725,0.0,7.601652337340323,One-off,2,2,4,8,At Risk,False,False,False,0,False
C10011,1293.124939,1.0,920.12,0.0,920.12,0.0,1.0,0.0,1.0,0.0,0,12,1200.0,1083.301007,2172.697765,0.0,12,1.0776041158333334,0.0,0.8370915159374732,Installment,4,4,4,12,Champions,True,False,False,1,False
C10012,630.794744,0.818182,1492.18,1492.18,0.0,0.0,0.25,0.25,0.0,0.0,0,6,2000.0,705.618627,155.549069,0.0,12,0.315397372,0.0,1.116847890396505,One-off,2,3,5,10,Loyal,False,False,False,0,False
C10013,1516.92862,1.0,3217.99,2500.23,717.76,0.0,1.0,0.25,0.916667,0.0,0,26,3000.0,608.263689,490.207013,0.25,12,0.5056428733333334,0.0,0.40071956018590654,One-off,4,5,5,14,Champions,False,False,False,0,False
